Country,GDP PC,GDP US bill,GDP Growth %,Services % GDP,Creat Ind % GDP,Inflation,Unemployment,% pop below poverty line,Internet penetration % population,Median age,% pop 25-54,Education invest % GDP
Argentina,20900,637.7,2.9,60.9,3.8,25.7,8.1,25.7,93.1,31.7,39.38,5.9
Belize,8300,1854,0.8,62.2,,1.1,10.1,41,52.3,22.7,36.62,7.4
Bolivia,7500,37.1,4.2,50,,2.8,4,38.6,78.6,24.3,37.48,7.3
Brazil,15600,2055000,1,72.8,2.6,3.4,11.8,4.2,70.7,32,43.86,5.9
Chile,24500,277,1.5,64.3,2.2,2.2,7,14.4,77.5,34.4,43.08,4.9
Colombia,14500,309.2,1.8,61.4,3.3,4.3,10.5,28,63.2,30,41.91,4.5
Costa Rica,16900,58.1,3.2,73.5,2,1.6,8.1,21.7,86.7,31.3,44.03,7.1
Ecuador,11500,102.3,2.7,56.9,2,0.4,4.6,21.5,79.9,27.7,39.59,5
El Salvador,8900,28,2.4,64.9,,1,7,32.7,57.7,27.1,39.23,3.5
Guatemala,8100,75.7,2.8,63.2,,4.4,2.3,59.3,42.1,22.1,34.12,2.8
Honduras,5600,22.9,4.8,57.8,,3.9,5.9,29.6,38.2,23,36.63,5.9
Mexico,19900,1149000,2,64,7.4,6,3.6,46.2,65,28.3,40.81,5.3
Nicaragua,5800,13.7,4.9,50.8,,3.9,6.5,29.6,43,25.7,40.24,4.5
Panama,25400,61.8,5.4,82,6.3,0.9,5.5,23,69.7,29.2,40.35,3.2
Paraguay,9800,29.6,4.3,54.5,4.1,3.6,6.5,22.2,89.6,28.2,41.08,5
Peru,13300,215.2,2.5,56.8,1.5,2.8,6.7,22.7,67.6,28,40.19,3.8
Uruguay,22400,58.4,3.1,68.8,1,6.2,7.3,9.7,88.2,35,39.34,4.4
